index,gender,car,reality,income_type,edu_type,family_type,house_type,occyp_type,family_size,age,work_year,use_month,income_total,credit
6493,0,0,0,State servant,Higher education,Civil marriage,House / apartment,Core staff,2,60,15,58,234000.0,2.0
6494,0,0,1,Working,Higher education,Married,House / apartment,Managers,2,60,2,14,247500.0,1.0
6495,1,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,62,0,49,117000.0,2.0
6496,0,0,1,Commercial associate,Higher education,Single / not married,House / apartment,Accountants,2,39,2,39,337500.0,2.0
6497,0,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,36,7,51,180000.0,2.0
6498,0,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,58,0,28,162000.0,2.0
6499,0,1,1,Working,Secondary / secondary special,Widow,House / apartment,Accountants,1,56,5,23,373500.0,2.0
6500,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,46,10,46,180000.0,2.0
6501,0,1,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Sales staff,1,41,7,22,270000.0,2.0
6502,0,0,1,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Unoccupied,1,61,0,37,292500.0,2.0
6503,0,1,0,Working,Higher education,Single / not married,House / apartment,Laborers,1,23,1,34,187650.0,2.0
6504,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,35,7,58,135000.0,2.0
6505,1,0,0,Commercial associate,Secondary / secondary special,Married,With parents,Drivers,3,48,6,9,225000.0,1.0
6506,1,0,1,Working,Higher education,Single / not married,House / apartment,Laborers,1,25,3,14,180000.0,2.0
6507,0,0,0,Working,Secondary / secondary special,Married,Municipal apartment,Medicine staff,4,34,2,43,112500.0,2.0
6508,0,0,1,Working,Secondary / secondary special,Separated,House / apartment,Laborers,1,53,7,32,155250.0,2.0
6509,0,0,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,53,6,30,207000.0,1.0
6510,1,0,0,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,49,4,46,247500.0,2.0
6511,1,0,0,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,42,8,38,157500.0,2.0
6512,0,0,1,Working,Secondary / secondary special,Single / not married,House / apartment,Medicine staff,2,32,11,17,180000.0,2.0
6513,0,0,0,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,30,3,5,135000.0,1.0
6514,1,1,0,Working,Higher education,Married,House / apartment,Managers,2,45,4,16,765000.0,2.0
6515,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,55,0,52,67500.0,2.0
6516,1,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,46,1,1,270000.0,1.0
6517,0,0,1,Working,Incomplete higher,Married,House / apartment,Laborers,3,43,26,11,135000.0,1.0
6518,0,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,46,3,21,135000.0,1.0
6519,0,0,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,32,1,46,90000.0,0.0
6520,1,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,57,0,10,90000.0,2.0
6521,0,0,0,Working,Higher education,Married,House / apartment,Sales staff,2,53,5,14,157500.0,2.0
6522,0,1,0,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,35,13,54,405000.0,0.0
6523,0,1,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,48,5,38,135000.0,2.0
6524,0,0,0,Working,Higher education,Separated,House / apartment,Laborers,1,35,12,27,225000.0,1.0
6525,0,0,1,Pensioner,Secondary / secondary special,Widow,House / apartment,Unoccupied,1,66,0,36,135000.0,2.0
6526,1,1,1,Working,Secondary / secondary special,Single / not married,House / apartment,Accountants,1,25,6,25,112500.0,2.0
6527,1,1,0,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,31,6,29,270000.0,2.0
6528,0,0,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Laborers,2,39,21,10,135000.0,2.0
6529,1,1,1,Working,Higher education,Married,House / apartment,Core staff,2,47,4,14,112500.0,2.0
6530,1,1,1,State servant,Secondary / secondary special,Married,House / apartment,Managers,3,32,10,20,247500.0,2.0
6531,1,1,0,Commercial associate,Higher education,Civil marriage,House / apartment,Managers,2,36,1,23,225000.0,0.0
6532,1,0,0,Working,Higher education,Civil marriage,House / apartment,Laborers,4,45,9,28,225000.0,2.0
6533,0,0,1,State servant,Secondary / secondary special,Widow,House / apartment,Drivers,1,62,6,25,157500.0,1.0
6534,1,1,0,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,30,9,24,157500.0,1.0
6535,0,1,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,High skill tech staff,1,33,4,43,225000.0,2.0
6536,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,45,6,31,211500.0,2.0
6537,0,0,1,Working,Secondary / secondary special,Separated,House / apartment,Laborers,1,53,1,60,157500.0,2.0
6538,0,0,1,Pensioner,Higher education,Single / not married,House / apartment,Unoccupied,1,55,0,5,216000.0,2.0
6539,0,0,1,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Unoccupied,1,59,0,47,270000.0,2.0
6540,0,0,1,Working,Incomplete higher,Single / not married,House / apartment,High skill tech staff,1,25,1,4,166500.0,2.0
6541,1,1,1,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Unoccupied,2,54,0,54,180000.0,2.0
6542,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,46,16,56,144000.0,2.0
6543,0,1,1,Pensioner,Secondary / secondary special,Widow,House / apartment,Unoccupied,1,60,0,3,90000.0,1.0
6544,0,1,0,Commercial associate,Higher education,Married,House / apartment,Laborers,2,46,10,54,144000.0,1.0
6545,1,1,1,State servant,Secondary / secondary special,Married,Office apartment,Laborers,4,35,11,24,337500.0,1.0
6546,0,0,1,Working,Higher education,Single / not married,House / apartment,Accountants,2,27,1,51,202500.0,2.0
6547,1,1,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,31,6,27,225000.0,2.0
6548,1,0,0,Working,Secondary / secondary special,Married,House / apartment,Drivers,3,28,2,21,76500.0,2.0
6549,1,0,0,Working,Higher education,Married,House / apartment,Laborers,2,26,9,29,121500.0,2.0
6550,0,0,1,Commercial associate,Incomplete higher,Married,House / apartment,Sales staff,2,49,14,6,180000.0,2.0
6551,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,44,10,18,189000.0,2.0
6552,1,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,22,2,1,364500.0,1.0
6553,0,0,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,25,3,8,139500.0,2.0
6554,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,49,6,51,135000.0,2.0
6555,0,0,0,Working,Incomplete higher,Widow,House / apartment,Core staff,1,53,6,57,180000.0,2.0
6556,0,1,1,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,33,7,6,76500.0,2.0
6557,0,1,1,Working,Higher education,Married,Co-op apartment,Accountants,2,60,1,31,157500.0,2.0
6558,0,1,0,Working,Higher education,Civil marriage,Municipal apartment,Sales staff,4,30,4,3,135000.0,1.0
6559,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,64,0,4,99000.0,2.0
6560,0,0,1,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,4,37,1,44,189000.0,2.0
6561,1,0,1,Pensioner,Secondary / secondary special,Married,Rented apartment,Unoccupied,2,45,0,43,126000.0,2.0
6562,0,1,1,Working,Secondary / secondary special,Married,Municipal apartment,Core staff,2,52,17,16,108000.0,2.0
6563,1,1,1,Commercial associate,Higher education,Married,Office apartment,Core staff,2,37,13,58,315000.0,2.0
6564,0,0,1,State servant,Secondary / secondary special,Married,House / apartment,Laborers,2,53,10,11,157500.0,2.0
6565,1,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,3,41,12,30,225000.0,1.0
6566,0,0,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,31,7,48,180000.0,2.0
6567,0,0,1,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,47,19,37,135000.0,1.0
6568,1,1,0,Commercial associate,Higher education,Married,House / apartment,Core staff,4,33,4,16,166500.0,2.0
6569,1,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,3,40,1,54,202500.0,2.0
6570,1,0,1,State servant,Secondary / secondary special,Married,House / apartment,Core staff,2,47,19,19,450000.0,2.0
6571,0,1,1,Pensioner,Secondary / secondary special,Widow,House / apartment,Unoccupied,1,60,0,31,135000.0,2.0
6572,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,60,0,31,72000.0,2.0
6573,1,1,1,Commercial associate,Higher education,Single / not married,House / apartment,Laborers,1,32,3,45,225000.0,2.0
6574,0,1,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,35,5,8,157500.0,2.0
6575,0,0,1,Working,Incomplete higher,Civil marriage,House / apartment,Laborers,2,25,5,19,112500.0,0.0
6576,1,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,52,0,40,135000.0,1.0
6577,1,1,1,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Unoccupied,2,55,0,3,135000.0,0.0
6578,0,0,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,51,4,47,252000.0,1.0
6579,0,1,1,Commercial associate,Higher education,Civil marriage,House / apartment,Medicine staff,2,35,5,6,135000.0,2.0
6580,0,0,1,Working,Secondary / secondary special,Separated,House / apartment,Laborers,2,38,11,25,225000.0,2.0
6581,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,27,1,43,202500.0,2.0
6582,1,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,49,10,2,180000.0,0.0
6583,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,34,12,49,135000.0,1.0
6584,1,1,1,Working,Lower secondary,Single / not married,House / apartment,Laborers,1,32,7,34,180000.0,2.0
6585,1,0,1,Commercial associate,Higher education,Married,House / apartment,Security staff,2,60,8,35,225000.0,2.0
6586,1,1,0,Pensioner,Higher education,Married,House / apartment,Unoccupied,2,60,0,32,256500.0,2.0
6587,0,0,1,Working,Higher education,Married,House / apartment,Managers,2,44,9,15,225000.0,1.0
6588,0,0,0,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,2,57,4,22,122400.0,0.0
6589,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,56,0,38,112500.0,2.0
6590,0,0,1,Working,Higher education,Widow,House / apartment,Laborers,1,34,15,47,229500.0,2.0
6591,0,0,1,Commercial associate,Higher education,Married,House / apartment,Managers,3,53,8,40,180000.0,2.0
6592,1,0,1,Commercial associate,Secondary / secondary special,Separated,House / apartment,Laborers,2,35,13,14,337500.0,2.0
6593,1,0,0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Security staff,2,32,1,27,157500.0,2.0
6594,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,30,10,8,247500.0,1.0
6595,0,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,36,2,13,216000.0,2.0
6596,0,0,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Unoccupied,1,63,0,40,90000.0,2.0
6597,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,47,8,23,135000.0,2.0
6598,0,0,0,Working,Higher education,Single / not married,Rented apartment,Medicine staff,1,37,6,23,270000.0,2.0
6599,0,1,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,58,0,31,112500.0,2.0
6600,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,29,3,9,126000.0,0.0
6601,0,0,1,State servant,Secondary / secondary special,Married,House / apartment,Managers,3,40,8,25,112500.0,1.0
6602,0,1,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,45,9,30,225000.0,1.0
6603,0,0,1,State servant,Secondary / secondary special,Married,House / apartment,Laborers,2,54,32,44,67500.0,2.0
6604,0,1,0,Working,Incomplete higher,Married,House / apartment,Accountants,2,29,4,25,130500.0,2.0
6605,0,0,1,Commercial associate,Higher education,Married,House / apartment,Managers,3,26,7,8,225000.0,1.0
6606,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,42,2,15,292500.0,2.0
6607,1,1,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,43,11,60,202500.0,2.0
6608,0,1,1,Pensioner,Secondary / secondary special,Widow,House / apartment,Unoccupied,1,60,0,21,135000.0,2.0
6609,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,64,0,38,94500.0,2.0
6610,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,42,7,34,202500.0,0.0
6611,1,1,0,Working,Secondary / secondary special,Separated,House / apartment,Drivers,2,36,9,31,270000.0,2.0
6612,1,1,1,Working,Lower secondary,Married,With parents,Laborers,2,27,6,12,135000.0,2.0
6613,0,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,4,42,10,9,90000.0,1.0
6614,0,0,0,Working,Secondary / secondary special,Married,House / apartment,Sales staff,4,36,8,19,202500.0,2.0
6615,1,1,1,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,22,1,13,78750.0,1.0
6616,1,0,1,Working,Secondary / secondary special,Married,House / apartment,Low-skill Laborers,2,50,6,18,112500.0,2.0
6617,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Low-skill Laborers,3,41,9,57,135000.0,2.0
6618,0,1,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,High skill tech staff,1,33,4,30,225000.0,1.0
6619,0,0,1,State servant,Secondary / secondary special,Married,House / apartment,Private service staff,2,54,7,38,225000.0,2.0
6620,0,0,1,Pensioner,Lower secondary,Married,House / apartment,Unoccupied,2,60,0,39,180000.0,1.0
6621,0,0,0,Working,Secondary / secondary special,Married,House / apartment,Core staff,3,51,13,10,189000.0,2.0
6622,1,1,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Drivers,2,47,1,55,135000.0,2.0
6623,0,1,1,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,45,7,52,157500.0,2.0
6624,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,62,0,5,135000.0,0.0
6625,0,1,1,Working,Higher education,Married,House / apartment,Sales staff,3,51,18,8,630000.0,0.0
6626,1,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,51,5,22,135000.0,2.0
6627,0,0,1,Working,Higher education,Single / not married,House / apartment,Laborers,1,41,3,21,225000.0,1.0
6628,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Managers,2,40,7,59,112500.0,2.0
6629,0,0,1,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,50,27,55,193500.0,1.0
6630,0,0,1,Working,Secondary / secondary special,Widow,House / apartment,Laborers,1,47,7,10,121500.0,1.0
6631,0,0,1,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Unoccupied,2,60,0,58,202500.0,1.0
6632,0,1,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,46,2,27,337500.0,2.0
6633,1,1,0,Working,Higher education,Married,House / apartment,Managers,3,53,16,20,450000.0,2.0
6634,0,0,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,27,10,56,90000.0,2.0
6635,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,52,19,52,202500.0,1.0
6636,0,0,0,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,48,6,51,90000.0,1.0
6637,0,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,42,9,26,292500.0,2.0
6638,1,1,1,Working,Incomplete higher,Married,House / apartment,Laborers,3,41,7,60,189000.0,1.0
6639,1,1,0,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,43,24,20,81000.0,2.0
6640,1,1,1,State servant,Secondary / secondary special,Married,House / apartment,Laborers,3,40,9,21,202500.0,2.0
6641,0,1,0,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,4,32,5,10,243000.0,1.0
6642,1,1,0,Commercial associate,Higher education,Married,House / apartment,Managers,2,37,9,0,198000.0,0.0
6643,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Private service staff,3,31,5,9,112500.0,1.0
6644,0,0,0,Working,Higher education,Married,House / apartment,Core staff,2,35,2,3,112500.0,1.0
6645,0,0,0,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,23,3,2,67500.0,1.0
6646,1,1,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Core staff,1,22,1,22,112500.0,2.0
6647,0,0,1,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Unoccupied,1,58,0,11,135000.0,1.0
6648,0,0,0,Working,Secondary / secondary special,Married,Municipal apartment,Sales staff,2,45,28,2,144000.0,1.0
6649,1,1,0,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,29,5,26,157500.0,0.0
6650,1,0,1,Commercial associate,Higher education,Married,House / apartment,Managers,3,32,6,4,405000.0,1.0
6651,0,1,0,Working,Incomplete higher,Single / not married,House / apartment,Managers,1,31,9,48,157500.0,2.0
6652,0,1,1,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,58,9,5,144000.0,2.0
6653,1,1,0,Working,Incomplete higher,Married,House / apartment,Laborers,2,32,3,43,270000.0,2.0
6654,0,0,1,State servant,Higher education,Married,House / apartment,Secretaries,2,26,2,43,135000.0,1.0
6655,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,2,54,1,21,90000.0,2.0
6656,1,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,4,35,5,55,207000.0,0.0
6657,0,0,0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Unoccupied,1,61,0,42,202500.0,2.0
6658,0,0,1,Working,Higher education,Single / not married,House / apartment,Core staff,2,41,4,43,112500.0,2.0
6659,0,1,0,Working,Incomplete higher,Married,With parents,Managers,2,29,3,12,180000.0,2.0
6660,0,1,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,54,0,4,112500.0,1.0
6661,1,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,5,37,10,10,202500.0,2.0
6662,0,1,0,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,2,52,19,53,135000.0,2.0
6663,1,1,1,Working,Secondary / secondary special,Married,Rented apartment,Laborers,4,35,15,25,225000.0,1.0
6664,0,0,1,State servant,Higher education,Married,House / apartment,Laborers,2,49,32,37,315000.0,0.0
6665,1,0,1,Commercial associate,Higher education,Married,House / apartment,Laborers,4,61,4,20,450000.0,0.0
6666,1,1,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,4,46,0,18,157500.0,2.0
6667,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,2,55,5,2,135000.0,1.0
6668,1,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,2,22,3,4,202500.0,1.0
6669,0,1,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,41,6,4,81000.0,2.0
6670,0,0,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,42,7,28,126000.0,2.0
6671,0,0,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,41,14,12,135000.0,2.0
6672,0,0,0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,Unoccupied,2,51,0,31,255150.0,2.0
6673,0,0,0,Pensioner,Higher education,Widow,House / apartment,Unoccupied,1,65,0,5,67500.0,2.0
6674,0,0,0,Commercial associate,Incomplete higher,Married,House / apartment,Laborers,2,27,3,7,261000.0,2.0
6675,1,1,1,Commercial associate,Higher education,Married,House / apartment,Laborers,2,34,15,21,202500.0,2.0
6676,0,1,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,57,0,51,135000.0,2.0
6677,0,1,1,Working,Higher education,Married,House / apartment,Laborers,2,31,4,26,90000.0,1.0
6678,0,0,1,Pensioner,Secondary / secondary special,Widow,House / apartment,Unoccupied,1,66,0,46,126000.0,2.0
6679,1,1,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,53,0,47,157500.0,2.0
6680,1,1,1,Pensioner,Higher education,Married,House / apartment,Unoccupied,2,63,0,32,135000.0,2.0
6681,1,1,1,State servant,Secondary / secondary special,Married,House / apartment,Laborers,3,32,11,29,225000.0,2.0
6682,0,0,1,Commercial associate,Higher education,Separated,House / apartment,Accountants,2,44,11,55,135000.0,0.0
6683,0,0,0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,Unoccupied,2,58,0,48,112500.0,2.0
6684,0,0,0,Working,Secondary / secondary special,Separated,House / apartment,Laborers,1,45,8,29,121500.0,2.0
6685,1,1,1,Commercial associate,Higher education,Separated,House / apartment,Laborers,1,44,3,14,450000.0,2.0
6686,1,1,0,Working,Secondary / secondary special,Married,House / apartment,HR staff,2,34,12,7,225000.0,2.0
6687,1,1,1,Commercial associate,Secondary / secondary special,Married,Rented apartment,Drivers,2,46,6,51,315000.0,1.0
6688,0,1,0,Commercial associate,Higher education,Married,Municipal apartment,Laborers,2,29,5,23,216000.0,2.0
6689,0,0,1,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Unoccupied,1,63,0,35,225000.0,2.0
6690,0,1,0,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,2,41,1,26,72000.0,2.0
6691,0,0,0,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,4,32,2,12,76500.0,2.0
6692,0,0,1,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Unoccupied,1,60,0,38,76500.0,0.0
6693,0,0,0,Working,Higher education,Civil marriage,House / apartment,Managers,2,40,14,31,27000.0,2.0
6694,0,0,0,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,1,27,1,7,450000.0,2.0
6695,0,0,1,Pensioner,Higher education,Single / not married,House / apartment,Core staff,3,28,8,36,270000.0,2.0
6696,1,1,1,Working,Higher education,Married,House / apartment,Managers,2,62,11,55,202500.0,2.0
6697,0,1,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Core staff,1,43,6,15,450000.0,2.0
6698,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,45,10,23,157500.0,2.0
6699,0,1,0,Working,Secondary / secondary special,Married,With parents,Laborers,2,33,1,27,180000.0,2.0
6700,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,49,10,18,157500.0,0.0
6701,0,0,1,Working,Incomplete higher,Single / not married,House / apartment,Sales staff,1,22,1,5,112500.0,2.0
6702,0,1,0,State servant,Secondary / secondary special,Civil marriage,House / apartment,Core staff,3,27,6,35,135000.0,2.0
6703,0,1,1,Working,Secondary / secondary special,Married,House / apartment,Accountants,4,39,21,35,166500.0,2.0
6704,1,0,0,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,47,10,13,180000.0,0.0
6705,0,1,0,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,2,34,4,19,121500.0,1.0
6706,0,0,0,Working,Incomplete higher,Married,With parents,Core staff,2,38,18,30,157500.0,2.0
6707,0,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,53,6,36,315000.0,2.0
6708,1,1,1,Working,Higher education,Married,House / apartment,Managers,4,32,3,42,202500.0,2.0
6709,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,2,51,6,5,180000.0,2.0
6710,1,1,0,Working,Higher education,Married,House / apartment,Drivers,5,29,6,2,112500.0,0.0
6711,0,0,0,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,4,41,5,37,112500.0,2.0
6712,0,1,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,57,0,5,99000.0,1.0
6713,0,0,1,Commercial associate,Higher education,Married,House / apartment,Core staff,3,37,8,43,157500.0,0.0
6714,0,0,1,Pensioner,Secondary / secondary special,Widow,House / apartment,Unoccupied,1,66,0,15,126000.0,2.0
6715,0,0,0,Working,Secondary / secondary special,Married,Municipal apartment,Laborers,2,42,13,54,126000.0,1.0
6716,0,0,0,Working,Incomplete higher,Married,With parents,Accountants,3,43,21,43,225000.0,2.0
6717,1,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,27,3,14,157500.0,1.0
6718,0,0,1,State servant,Higher education,Married,House / apartment,Managers,2,41,11,43,157500.0,2.0
6719,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,56,0,16,90000.0,2.0
6720,0,0,1,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Unoccupied,1,40,0,43,135000.0,2.0
6721,0,0,1,State servant,Higher education,Married,House / apartment,Cooking staff,2,48,11,44,90000.0,2.0
6722,0,1,1,State servant,Higher education,Married,House / apartment,Core staff,3,37,6,60,315000.0,1.0
6723,0,0,1,Working,Higher education,Married,House / apartment,Core staff,3,24,5,40,112500.0,0.0
6724,0,0,1,Working,Incomplete higher,Married,House / apartment,Core staff,4,29,6,47,112500.0,2.0
6725,0,1,1,Working,Higher education,Married,House / apartment,Laborers,2,42,14,14,135000.0,1.0
6726,0,1,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,36,17,4,225000.0,2.0
6727,0,0,1,Working,Higher education,Married,House / apartment,Laborers,5,33,13,15,67500.0,2.0
6728,1,0,0,State servant,Secondary / secondary special,Married,With parents,Drivers,2,27,5,14,180000.0,2.0
6729,0,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,4,29,2,48,157500.0,2.0
6730,1,0,0,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,39,3,50,270000.0,1.0
6731,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,46,2,40,81000.0,1.0
6732,1,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,37,2,21,270000.0,2.0
6733,1,0,1,Commercial associate,Higher education,Married,House / apartment,Laborers,2,52,4,21,135000.0,1.0
6734,0,1,1,Pensioner,Incomplete higher,Married,House / apartment,Unoccupied,2,58,0,56,67500.0,2.0
6735,0,1,0,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,2,31,3,45,135000.0,2.0
6736,0,0,0,Working,Secondary / secondary special,Civil marriage,Office apartment,Sales staff,2,25,3,20,270000.0,1.0
6737,1,1,0,Commercial associate,Secondary / secondary special,Separated,House / apartment,Drivers,1,42,6,16,225000.0,2.0
6738,0,1,0,Working,Higher education,Separated,With parents,Core staff,2,36,13,29,184500.0,1.0
6739,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Managers,3,43,9,15,180000.0,2.0
6740,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,56,0,5,112500.0,2.0
6741,0,0,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,44,6,21,90000.0,2.0
6742,0,0,1,Pensioner,Secondary / secondary special,Widow,House / apartment,Unoccupied,1,67,0,35,135000.0,2.0
6743,0,1,0,Pensioner,Higher education,Married,House / apartment,Laborers,2,37,2,36,315000.0,2.0
6744,1,0,1,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,2,37,15,46,247500.0,2.0
6745,1,1,1,Working,Secondary / secondary special,Civil marriage,House / apartment,Managers,3,38,11,46,180000.0,1.0
6746,0,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,45,1,48,90000.0,2.0
6747,1,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,36,19,34,202500.0,0.0
